cities,zip_codes,regions,code_insee,appartement-loyer-m2,appartement12-loyer-m2,appartement3-loyer-m2,maison-loyer-m2
La Croix-en-Champagne,51600.0,Grand Est,51019,7.80179135350471,10.2184617981616,8.35445493756338,6.86447018868606
Crugny,51170.0,Grand Est,51013,9.39573284032175,11.4732729111633,8.58735108075574,8.02360243402776
Cuchery,51480.0,Grand Est,51048,8.85475907336912,12.5379046885608,7.97297048962313,7.92601953898569
Cuis,51530.0,Grand Est,51002,8.85475907336912,10.817291698197,7.97297048962313,7.92601953898569
Cuisles,51700.0,Grand Est,51012,8.85475907336912,10.817291698197,7.4580921810376,8.02360243402776
Cumières,51480.0,Grand Est,51048,8.85475907336912,12.5379046885608,7.97297048962313,7.92601953898569
Cuperly,51400.0,Grand Est,51031,7.80179135350471,10.2184617981616,8.35445493756338,8.68968689731701
Damery,51480.0,Grand Est,51048,8.85475907336912,12.5379046885608,7.97297048962313,7.92601953898569
Dampierre-au-Temple,51400.0,Grand Est,51031,7.80179135350471,10.2184617981616,8.35445493756338,8.68968689731701
Dampierre-le-Château,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Dampierre-sur-Moivre,51240.0,Grand Est,51001,7.92659336339227,9.35537423038193,6.90883777015173,7.06477583847091
Dizy,51530.0,Grand Est,51002,8.85475907336912,10.817291698197,7.97297048962313,7.92601953898569
Dommartin-Dampierre,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Dommartin-Lettrée,51320.0,Grand Est,51084,7.21843229135397,8.58988308334711,6.90883777015173,6.17055004482242
Dommartin-sous-Hans,51800.0,Grand Est,51015,6.96156085062336,9.23467026147072,6.26205931685786,5.53242643251973
Dommartin-Varimont,51330.0,Grand Est,51047,7.3192469211362,9.23467026147072,6.07886327460702,6.80709083195653
Dompremy,51300.0,Grand Est,51039,8.89447927962285,9.66793923238746,6.90883777015173,6.80709083195653
Dontrien,51490.0,Grand Est,51046,7.80179135350471,11.3661594562709,8.35445493756338,8.17455053670679
